Wind speed,Cloud cover,Air themperature,Humidity,Duration (For),SourceHeight,Tank Diameter,Tank length,Liquid level,Opening diameter,Chemical,Mesurement Heigth,Wind is from,type of failure,Building,Ground roughtness,Source,Tank Diameter (meters),Tank Type,Stored Themperature,Opening Diameter (inches),Height of the Tank opening,Ground type,Source strength,Leak through,Stored
3.0,2.0,22.0,85.0,32.0,7.58,6.3,3.0,16.0,1.43,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,open country,Instantaneous,6.3,Horizontal,22.0,1.43,5,Concrete,cubic meters,pipe/valve,Liquid
6.0,6.0,24.0,80.0,30.0,7.95,4.3,0.9,40.0,2.65,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Instantaneous,4.3,vertical,24.0,2.65,1,Concrete,cubic meters,Hole,Liquid
5.0,3.0,34.0,86.0,38.0,35.75,9.7,2.3,31.0,2.7,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Single office,open country,Instantaneous,9.7,Sphere,34.0,2.7,9,Concrete,cubic meters,Hole,Liquid
6.0,10.0,31.0,81.0,39.0,26.11,7.3,2.8,98.0,1.81,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,open country,Continue,7.3,Horizontal,31.0,1.81,3,Concrete,cubic meters,Hole,Liquid
4.0,7.0,31.0,82.0,10.0,45.1,8.1,1.3,81.0,2.44,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,Urban or forest,Continue,8.1,Horizontal,31.0,2.44,11,Concrete,cubic meters,Hole,Liquid
3.0,7.0,34.0,87.0,20.0,78.91,4.3,4.6,39.0,0.8,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Instantaneous,4.3,Sphere,34.0,0.8,0,Concrete,cubic meters,pipe/valve,Liquid
4.0,1.0,26.0,83.0,44.0,28.78,4.8,5.5,12.0,1.9,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,Urban or forest,Continue,4.8,vertical,26.0,1.9,11,Concrete,cubic meters,Hole,Liquid
4.0,2.0,29.0,85.0,6.0,30.18,4.8,4.7,93.0,1.78,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,open country,Instantaneous,4.8,vertical,29.0,1.78,0,Concrete,cubic meters,pipe/valve,Liquid
3.0,6.0,20.0,78.0,10.0,77.96,9.1,8.0,12.0,1.88,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,open country,Continue,9.1,Sphere,20.0,1.88,8,Concrete,cubic meters,pipe/valve,Liquid
3.0,3.0,27.0,83.0,31.0,83.7,0.8,0.9,85.0,2.24,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,open country,Continue,0.8,Sphere,27.0,2.24,9,Concrete,cubic meters,pipe/valve,Liquid
5.0,8.0,28.0,77.0,19.0,21.87,7.8,5.0,34.0,1.47,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,Urban or forest,Instantaneous,7.8,vertical,28.0,1.47,4,Concrete,cubic meters,Hole,Liquid
3.0,9.0,28.0,85.0,45.0,6.87,1.8,8.4,84.0,2.35,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,open country,Continue,1.8,Horizontal,28.0,2.35,0,Concrete,cubic meters,pipe/valve,Liquid
4.0,5.0,29.0,86.0,3.0,94.09,9.0,6.3,70.0,2.22,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,open country,Continue,9.0,Horizontal,29.0,2.22,7,Concrete,cubic meters,Hole,Liquid
4.0,5.0,32.0,77.0,15.0,8.98,1.9,1.5,22.0,0.97,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,Urban or forest,Instantaneous,1.9,Sphere,32.0,0.97,6,Concrete,cubic meters,Hole,Liquid
3.0,9.0,27.0,82.0,45.0,49.08,1.5,9.7,90.0,0.78,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Continue,1.5,Horizontal,27.0,0.78,9,Concrete,cubic meters,pipe/valve,Liquid
6.0,4.0,31.0,78.0,22.0,17.83,10.0,1.6,28.0,1.2,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,open country,Instantaneous,10.0,Horizontal,31.0,1.2,7,Concrete,cubic meters,Hole,Liquid
3.0,8.0,20.0,79.0,40.0,74.94,5.2,0.6,98.0,1.45,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,open country,Instantaneous,5.2,Sphere,20.0,1.45,11,Concrete,cubic meters,pipe/valve,Liquid
4.0,3.0,32.0,80.0,41.0,33.18,9.9,4.7,12.0,1.95,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,Urban or forest,Continue,9.9,Horizontal,32.0,1.95,9,Concrete,cubic meters,Hole,Liquid
4.0,2.0,31.0,79.0,16.0,33.58,4.0,6.5,26.0,2.7,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Instantaneous,4.0,vertical,31.0,2.7,1,Concrete,cubic meters,Hole,Liquid
4.0,3.0,30.0,84.0,45.0,92.68,9.2,2.1,86.0,0.91,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Single office,open country,Instantaneous,9.2,vertical,30.0,0.91,10,Concrete,cubic meters,Hole,Liquid
4.0,3.0,29.0,83.0,17.0,0.36,8.3,5.2,99.0,1.14,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Continue,8.3,vertical,29.0,1.14,8,Concrete,cubic meters,Hole,Liquid
4.0,9.0,19.0,84.0,25.0,23.23,4.7,1.4,70.0,2.16,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,open country,Continue,4.7,Horizontal,19.0,2.16,10,Concrete,cubic meters,pipe/valve,Liquid
5.0,2.0,22.0,79.0,23.0,46.27,5.4,7.8,58.0,1.18,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,open country,Instantaneous,5.4,Sphere,22.0,1.18,9,Concrete,cubic meters,Hole,Liquid
5.0,0.0,24.0,78.0,49.0,66.09,1.1,6.2,57.0,2.36,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,open country,Continue,1.1,vertical,24.0,2.36,4,Concrete,cubic meters,Hole,Liquid
5.0,2.0,29.0,81.0,5.0,61.32,9.0,5.9,22.0,0.78,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,Urban or forest,Instantaneous,9.0,Sphere,29.0,0.78,11,Concrete,cubic meters,Hole,Liquid
4.0,4.0,22.0,83.0,55.0,6.18,8.0,5.2,94.0,1.51,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Single office,open country,Continue,8.0,vertical,22.0,1.51,2,Concrete,cubic meters,pipe/valve,Liquid
4.0,7.0,19.0,85.0,57.0,93.39,2.1,1.5,42.0,1.55,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Continue,2.1,Sphere,19.0,1.55,7,Concrete,cubic meters,pipe/valve,Liquid
5.0,10.0,24.0,79.0,19.0,24.95,6.3,7.6,6.0,1.84,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,open country,Continue,6.3,Sphere,24.0,1.84,0,Concrete,cubic meters,Hole,Liquid
6.0,7.0,24.0,78.0,20.0,59.47,5.9,1.5,65.0,1.82,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,Urban or forest,Continue,5.9,Sphere,24.0,1.82,7,Concrete,cubic meters,pipe/valve,Liquid
4.0,8.0,19.0,86.0,36.0,96.35,1.1,8.7,7.0,1.26,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,open country,Continue,1.1,Horizontal,19.0,1.26,11,Concrete,cubic meters,pipe/valve,Liquid
4.0,7.0,22.0,80.0,33.0,73.86,0.9,5.7,56.0,2.71,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,open country,Continue,0.9,Sphere,22.0,2.71,10,Concrete,cubic meters,Hole,Liquid
5.0,1.0,25.0,79.0,14.0,24.03,2.9,1.1,86.0,2.24,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Continue,2.9,Sphere,25.0,2.24,8,Concrete,cubic meters,Hole,Liquid
3.0,2.0,31.0,87.0,59.0,63.14,6.7,8.5,20.0,1.36,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,Urban or forest,Continue,6.7,Sphere,31.0,1.36,2,Concrete,cubic meters,pipe/valve,Liquid
5.0,7.0,24.0,86.0,15.0,49.46,9.5,3.3,2.0,2.45,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,Urban or forest,Continue,9.5,Sphere,24.0,2.45,11,Concrete,cubic meters,Hole,Liquid
3.0,7.0,19.0,86.0,51.0,68.26,1.2,3.6,24.0,2.21,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,Urban or forest,Instantaneous,1.2,Sphere,19.0,2.21,6,Concrete,cubic meters,Hole,Liquid
4.0,8.0,30.0,85.0,46.0,44.5,6.1,7.6,4.0,2.89,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Continue,6.1,Sphere,30.0,2.89,8,Concrete,cubic meters,Hole,Liquid
5.0,1.0,18.0,82.0,38.0,9.34,1.2,8.7,43.0,2.46,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,open country,Instantaneous,1.2,Sphere,18.0,2.46,8,Concrete,cubic meters,Hole,Liquid
4.0,0.0,19.0,78.0,2.0,36.67,7.3,1.1,91.0,2.09,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,open country,Instantaneous,7.3,Horizontal,19.0,2.09,2,Concrete,cubic meters,pipe/valve,Liquid
4.0,8.0,35.0,87.0,12.0,62.07,7.5,2.6,40.0,0.76,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Continue,7.5,Horizontal,35.0,0.76,5,Concrete,cubic meters,Hole,Liquid
4.0,8.0,27.0,85.0,31.0,50.65,3.6,3.2,67.0,2.17,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Instantaneous,3.6,Sphere,27.0,2.17,2,Concrete,cubic meters,Hole,Liquid
4.0,1.0,34.0,84.0,20.0,16.33,7.6,8.0,55.0,1.44,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,Urban or forest,Instantaneous,7.6,vertical,34.0,1.44,8,Concrete,cubic meters,pipe/valve,Liquid
5.0,7.0,19.0,83.0,44.0,56.89,8.4,4.5,39.0,1.69,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,open country,Continue,8.4,Sphere,19.0,1.69,2,Concrete,cubic meters,pipe/valve,Liquid
6.0,4.0,27.0,79.0,9.0,25.58,6.1,2.0,70.0,1.0,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Single office,open country,Continue,6.1,Horizontal,27.0,1.0,2,Concrete,cubic meters,pipe/valve,Liquid
5.0,1.0,31.0,80.0,52.0,90.91,8.5,9.6,49.0,1.01,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Instantaneous,8.5,Horizontal,31.0,1.01,4,Concrete,cubic meters,Hole,Liquid
5.0,2.0,28.0,84.0,21.0,75.88,8.8,6.5,45.0,2.07,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,open country,Instantaneous,8.8,Horizontal,28.0,2.07,11,Concrete,cubic meters,pipe/valve,Liquid
5.0,9.0,28.0,77.0,32.0,66.58,7.4,1.9,89.0,2.48,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Instantaneous,7.4,Horizontal,28.0,2.48,11,Concrete,cubic meters,Hole,Liquid
5.0,10.0,18.0,81.0,51.0,57.53,3.4,4.3,6.0,1.08,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,Urban or forest,Instantaneous,3.4,Sphere,18.0,1.08,8,Concrete,cubic meters,pipe/valve,Liquid
6.0,3.0,31.0,78.0,21.0,58.1,2.7,6.4,19.0,1.74,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Single office,open country,Continue,2.7,vertical,31.0,1.74,2,Concrete,cubic meters,pipe/valve,Liquid
4.0,6.0,33.0,83.0,40.0,3.15,9.6,2.5,30.0,1.07,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Continue,9.6,Sphere,33.0,1.07,5,Concrete,cubic meters,Hole,Liquid
5.0,6.0,29.0,82.0,59.0,80.91,7.4,2.0,29.0,2.01,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Continue,7.4,vertical,29.0,2.01,2,Concrete,cubic meters,Hole,Liquid
5.0,1.0,28.0,85.0,49.0,68.47,2.6,2.3,60.0,1.38,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,open country,Instantaneous,2.6,Horizontal,28.0,1.38,7,Concrete,cubic meters,pipe/valve,Liquid
4.0,2.0,27.0,80.0,30.0,51.97,6.4,1.6,43.0,2.87,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,open country,Instantaneous,6.4,vertical,27.0,2.87,1,Concrete,cubic meters,Hole,Liquid
4.0,6.0,18.0,87.0,50.0,28.09,5.1,7.1,61.0,0.75,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Instantaneous,5.1,vertical,18.0,0.75,10,Concrete,cubic meters,pipe/valve,Liquid
6.0,5.0,34.0,86.0,30.0,81.37,2.0,7.2,32.0,1.62,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Continue,2.0,vertical,34.0,1.62,1,Concrete,cubic meters,Hole,Liquid
5.0,1.0,18.0,79.0,9.0,54.32,7.2,3.6,69.0,1.25,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Single office,open country,Continue,7.2,Sphere,18.0,1.25,7,Concrete,cubic meters,Hole,Liquid
4.0,4.0,26.0,83.0,36.0,35.18,2.6,8.2,23.0,2.84,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,open country,Continue,2.6,Horizontal,26.0,2.84,7,Concrete,cubic meters,Hole,Liquid
3.0,2.0,22.0,87.0,47.0,21.29,7.8,8.1,41.0,1.23,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,Urban or forest,Instantaneous,7.8,Sphere,22.0,1.23,1,Concrete,cubic meters,pipe/valve,Liquid
4.0,4.0,21.0,81.0,53.0,94.75,4.6,2.9,21.0,1.4,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,Urban or forest,Continue,4.6,Horizontal,21.0,1.4,9,Concrete,cubic meters,pipe/valve,Liquid
5.0,2.0,27.0,78.0,46.0,31.12,8.5,6.7,92.0,0.93,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Instantaneous,8.5,Horizontal,27.0,0.93,4,Concrete,cubic meters,pipe/valve,Liquid
5.0,4.0,20.0,84.0,13.0,5.21,0.6,3.0,50.0,1.17,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,open country,Instantaneous,0.6,Sphere,20.0,1.17,7,Concrete,cubic meters,Hole,Liquid
5.0,4.0,26.0,85.0,33.0,71.84,6.8,0.7,6.0,1.1,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Single office,open country,Continue,6.8,Sphere,26.0,1.1,11,Concrete,cubic meters,pipe/valve,Liquid
4.0,9.0,26.0,83.0,11.0,48.36,5.9,3.9,93.0,1.65,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,open country,Instantaneous,5.9,Horizontal,26.0,1.65,4,Concrete,cubic meters,Hole,Liquid
3.0,3.0,23.0,80.0,8.0,66.91,5.2,3.1,32.0,2.76,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Single office,open country,Continue,5.2,Horizontal,23.0,2.76,0,Concrete,cubic meters,pipe/valve,Liquid
6.0,10.0,33.0,86.0,42.0,25.84,4.0,4.8,68.0,2.2,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,open country,Continue,4.0,vertical,33.0,2.2,3,Concrete,cubic meters,Hole,Liquid
5.0,3.0,32.0,80.0,3.0,95.29,3.2,9.7,67.0,1.48,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,open country,Instantaneous,3.2,vertical,32.0,1.48,0,Concrete,cubic meters,Hole,Liquid
5.0,4.0,21.0,81.0,22.0,65.67,4.0,6.6,65.0,1.76,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Continue,4.0,Sphere,21.0,1.76,0,Concrete,cubic meters,Hole,Liquid
4.0,8.0,22.0,81.0,41.0,89.28,1.6,7.3,10.0,2.56,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Single office,open country,Instantaneous,1.6,Horizontal,22.0,2.56,11,Concrete,cubic meters,Hole,Liquid
6.0,5.0,30.0,82.0,48.0,96.12,9.4,3.7,8.0,2.74,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Single office,open country,Continue,9.4,Sphere,30.0,2.74,2,Concrete,cubic meters,Hole,Liquid
5.0,1.0,28.0,81.0,48.0,61.63,5.7,7.7,39.0,2.77,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,Urban or forest,Instantaneous,5.7,Horizontal,28.0,2.77,4,Concrete,cubic meters,pipe/valve,Liquid
5.0,1.0,30.0,82.0,50.0,73.2,2.5,3.1,83.0,2.69,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,Urban or forest,Instantaneous,2.5,Horizontal,30.0,2.69,4,Concrete,cubic meters,Hole,Liquid
4.0,9.0,32.0,87.0,36.0,94.55,3.1,8.3,69.0,1.21,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Continue,3.1,vertical,32.0,1.21,9,Concrete,cubic meters,pipe/valve,Liquid
5.0,6.0,35.0,78.0,1.0,34.67,9.6,10.0,18.0,0.94,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,open country,Instantaneous,9.6,Sphere,35.0,0.94,1,Concrete,cubic meters,pipe/valve,Liquid
3.0,3.0,28.0,82.0,7.0,72.57,6.0,4.1,96.0,1.45,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Single office,open country,Instantaneous,6.0,Sphere,28.0,1.45,2,Concrete,cubic meters,pipe/valve,Liquid
6.0,8.0,33.0,84.0,30.0,7.15,1.7,0.6,9.0,2.02,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,Urban or forest,Instantaneous,1.7,Sphere,33.0,2.02,2,Concrete,cubic meters,pipe/valve,Liquid
4.0,8.0,22.0,83.0,6.0,19.15,1.4,5.9,59.0,1.4,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,Urban or forest,Instantaneous,1.4,vertical,22.0,1.4,0,Concrete,cubic meters,pipe/valve,Liquid
4.0,4.0,30.0,82.0,37.0,30.47,5.2,0.5,52.0,1.14,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,Urban or forest,Continue,5.2,Horizontal,30.0,1.14,4,Concrete,cubic meters,Hole,Liquid
4.0,3.0,25.0,84.0,31.0,0.17,6.6,7.3,30.0,1.63,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,open country,Continue,6.6,Sphere,25.0,1.63,4,Concrete,cubic meters,pipe/valve,Liquid
3.0,3.0,21.0,77.0,54.0,84.47,5.6,4.6,90.0,2.14,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Single office,open country,Continue,5.6,vertical,21.0,2.14,3,Concrete,cubic meters,pipe/valve,Liquid
6.0,2.0,21.0,78.0,34.0,85.78,7.4,1.9,32.0,2.51,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,open country,Instantaneous,7.4,Sphere,21.0,2.51,4,Concrete,cubic meters,pipe/valve,Liquid
6.0,7.0,29.0,79.0,11.0,1.07,4.8,5.1,94.0,2.42,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,open country,Instantaneous,4.8,vertical,29.0,2.42,6,Concrete,cubic meters,Hole,Liquid
4.0,6.0,20.0,83.0,49.0,41.32,7.7,3.9,49.0,2.58,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,Urban or forest,Instantaneous,7.7,Sphere,20.0,2.58,9,Concrete,cubic meters,Hole,Liquid
5.0,1.0,31.0,79.0,31.0,2.96,0.7,6.9,47.0,2.54,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,open country,Instantaneous,0.7,vertical,31.0,2.54,10,Concrete,cubic meters,Hole,Liquid
3.0,6.0,35.0,85.0,23.0,58.6,3.0,2.8,34.0,1.94,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Instantaneous,3.0,Sphere,35.0,1.94,11,Concrete,cubic meters,Hole,Liquid
6.0,9.0,29.0,81.0,21.0,37.37,3.8,7.0,74.0,1.77,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Single office,open country,Instantaneous,3.8,Horizontal,29.0,1.77,0,Concrete,cubic meters,Hole,Liquid
5.0,0.0,33.0,84.0,12.0,12.93,6.4,8.8,46.0,1.79,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,open country,Instantaneous,6.4,Sphere,33.0,1.79,6,Concrete,cubic meters,Hole,Liquid
5.0,7.0,24.0,85.0,49.0,60.29,1.4,1.2,29.0,1.23,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,Urban or forest,Continue,1.4,Horizontal,24.0,1.23,11,Concrete,cubic meters,Hole,Liquid
5.0,0.0,30.0,81.0,57.0,98.05,9.0,9.5,88.0,2.66,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,Urban or forest,Continue,9.0,Horizontal,30.0,2.66,1,Concrete,cubic meters,Hole,Liquid
5.0,5.0,30.0,79.0,35.0,13.76,9.2,3.2,55.0,1.69,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,Urban or forest,Instantaneous,9.2,Sphere,30.0,1.69,8,Concrete,cubic meters,Hole,Liquid
5.0,3.0,23.0,85.0,52.0,27.13,3.3,0.7,95.0,1.93,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,Urban or forest,Continue,3.3,Sphere,23.0,1.93,6,Concrete,cubic meters,Hole,Liquid
6.0,7.0,26.0,77.0,56.0,50.67,6.4,5.9,63.0,1.28,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,Urban or forest,Instantaneous,6.4,Sphere,26.0,1.28,0,Concrete,cubic meters,pipe/valve,Liquid
3.0,0.0,19.0,85.0,30.0,42.53,2.4,8.7,13.0,0.85,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,open country,Instantaneous,2.4,vertical,19.0,0.85,3,Concrete,cubic meters,pipe/valve,Liquid
6.0,1.0,24.0,86.0,34.0,62.45,7.0,4.0,49.0,1.49,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Single office,open country,Continue,7.0,vertical,24.0,1.49,8,Concrete,cubic meters,Hole,Liquid
