Wind speed,Cloud cover,Air themperature,Humidity,Duration (For),SourceHeight,Tank Diameter,Tank length,Liquid level,Opening diameter,Chemical,Mesurement Heigth,Wind is from,Chemical state,Building,Ground roughtness,Source,Tank Diameter (meters),Stored Themperature,Opening Diameter (inches),Height of the Tank opening,Ground type,Source strength,Leak through,Stored
5.0,7.0,33.0,86.0,33.0,69.84,3.4,5.9,7.0,2.11,cyclohexanone,3,ESE,cyclohexanone,Single office,Urban or forest,Instantaneous,3.4,33.0,2.11,1,Concrete,cubic meters,pipe/valve,Liquid
3.0,10.0,34.0,79.0,51.0,16.68,5.9,8.9,21.0,1.26,cyclohexanone,3,NNE,cyclohexanone,Double storied,Urban or forest,Instantaneous,5.9,34.0,1.26,9,Concrete,cubic meters,pipe/valve,Liquid
5.0,3.0,33.0,85.0,45.0,91.01,4.7,9.2,65.0,1.33,cyclohexanone,3,ESE,cyclohexanone,Single office,open country,Instantaneous,4.7,33.0,1.33,13,Concrete,cubic meters,pipe/valve,Liquid
5.0,1.0,29.0,85.0,42.0,89.08,1.3,7.7,67.0,1.09,cyclohexanone,3,ESE,cyclohexanone,Single office,open country,Continue,1.3,29.0,1.09,47,Concrete,cubic meters,Hole,Liquid
3.0,7.0,19.0,78.0,6.0,75.27,9.9,8.7,74.0,2.13,cyclohexanone,3,NE,cyclohexanone,Double storied,Urban or forest,Continue,9.9,19.0,2.13,36,Concrete,cubic meters,pipe/valve,Liquid
4.0,1.0,19.0,86.0,32.0,38.15,5.2,2.3,83.0,1.32,cyclohexanone,3,NNE,cyclohexanone,Single office,open country,Continue,5.2,19.0,1.32,75,Concrete,cubic meters,Hole,Liquid
5.0,7.0,27.0,85.0,26.0,31.17,2.4,1.7,76.0,1.74,cyclohexanone,3,NNE,cyclohexanone,Double storied,Urban or forest,Continue,2.4,27.0,1.74,71,Concrete,cubic meters,Hole,Liquid
3.0,7.0,27.0,80.0,36.0,57.51,4.5,6.6,89.0,1.04,cyclohexanone,3,NE,cyclohexanone,Double storied,open country,Instantaneous,4.5,27.0,1.04,49,Concrete,cubic meters,Hole,Liquid
3.0,5.0,32.0,84.0,42.0,67.19,3.6,1.3,13.0,1.55,cyclohexanone,3,NE,cyclohexanone,Enclosed office,Urban or forest,Instantaneous,3.6,32.0,1.55,8,Concrete,cubic meters,pipe/valve,Liquid
6.0,1.0,23.0,86.0,59.0,83.95,9.2,6.5,6.0,1.7,cyclohexanone,3,ENE,cyclohexanone,Enclosed office,Urban or forest,Instantaneous,9.2,23.0,1.7,2,Concrete,cubic meters,Hole,Liquid
6.0,10.0,25.0,79.0,48.0,36.19,8.2,5.8,25.0,2.48,cyclohexanone,3,NE,cyclohexanone,Single office,Urban or forest,Continue,8.2,25.0,2.48,22,Concrete,cubic meters,pipe/valve,Liquid
4.0,2.0,22.0,80.0,8.0,23.66,1.2,1.2,22.0,1.99,cyclohexanone,3,NNE,cyclohexanone,Single office,Urban or forest,Instantaneous,1.2,22.0,1.99,5,Concrete,cubic meters,pipe/valve,Liquid
3.0,4.0,32.0,86.0,27.0,4.56,5.7,9.7,87.0,2.6,cyclohexanone,3,ESE,cyclohexanone,Double storied,open country,Instantaneous,5.7,32.0,2.6,23,Concrete,cubic meters,pipe/valve,Liquid
5.0,9.0,26.0,84.0,39.0,31.96,2.9,1.0,19.0,2.43,cyclohexanone,3,NNE,cyclohexanone,Single office,Urban or forest,Instantaneous,2.9,26.0,2.43,6,Concrete,cubic meters,Hole,Liquid
4.0,0.0,24.0,87.0,27.0,50.57,8.4,1.6,100.0,0.81,cyclohexanone,3,ENE,cyclohexanone,Single office,Urban or forest,Instantaneous,8.4,24.0,0.81,67,Concrete,cubic meters,Hole,Liquid
6.0,5.0,34.0,86.0,2.0,85.85,0.7,5.7,49.0,1.77,cyclohexanone,3,NNE,cyclohexanone,Enclosed office,open country,Continue,0.7,34.0,1.77,7,Concrete,cubic meters,Hole,Liquid
3.0,2.0,34.0,85.0,8.0,55.94,9.9,4.0,65.0,1.17,cyclohexanone,3,NNE,cyclohexanone,Enclosed office,open country,Continue,9.9,34.0,1.17,21,Concrete,cubic meters,Hole,Liquid
5.0,10.0,29.0,86.0,35.0,21.06,2.6,1.6,37.0,2.45,cyclohexanone,3,NE,cyclohexanone,Single office,open country,Instantaneous,2.6,29.0,2.45,16,Concrete,cubic meters,pipe/valve,Liquid
3.0,1.0,31.0,82.0,28.0,88.94,5.6,5.1,98.0,1.88,cyclohexanone,3,ENE,cyclohexanone,Single office,Urban or forest,Instantaneous,5.6,31.0,1.88,85,Concrete,cubic meters,Hole,Liquid
6.0,10.0,21.0,80.0,20.0,44.78,7.6,1.5,85.0,2.29,cyclohexanone,3,NNE,cyclohexanone,Double storied,Urban or forest,Continue,7.6,21.0,2.29,16,Concrete,cubic meters,pipe/valve,Liquid
3.0,6.0,27.0,82.0,24.0,86.8,3.5,5.0,28.0,1.11,cyclohexanone,3,NNE,cyclohexanone,Double storied,Urban or forest,Instantaneous,3.5,27.0,1.11,23,Concrete,cubic meters,Hole,Liquid
5.0,0.0,23.0,83.0,33.0,85.3,6.2,0.5,61.0,2.01,cyclohexanone,3,NNE,cyclohexanone,Double storied,open country,Continue,6.2,23.0,2.01,4,Concrete,cubic meters,Hole,Liquid
5.0,4.0,26.0,83.0,58.0,14.77,5.0,2.1,9.0,0.97,cyclohexanone,3,NE,cyclohexanone,Single office,open country,Continue,5.0,26.0,0.97,5,Concrete,cubic meters,Hole,Liquid
3.0,8.0,31.0,84.0,29.0,15.7,7.9,9.9,90.0,2.44,cyclohexanone,3,ENE,cyclohexanone,Enclosed office,open country,Instantaneous,7.9,31.0,2.44,2,Concrete,cubic meters,pipe/valve,Liquid
4.0,7.0,23.0,79.0,9.0,66.36,3.9,2.5,50.0,2.77,cyclohexanone,3,NNE,cyclohexanone,Single office,open country,Continue,3.9,23.0,2.77,36,Concrete,cubic meters,Hole,Liquid
4.0,0.0,24.0,85.0,49.0,96.15,2.9,6.8,96.0,2.94,cyclohexanone,3,NNE,cyclohexanone,Enclosed office,Urban or forest,Continue,2.9,24.0,2.94,57,Concrete,cubic meters,pipe/valve,Liquid
4.0,7.0,34.0,81.0,28.0,10.66,7.1,4.2,49.0,1.4,cyclohexanone,3,ESE,cyclohexanone,Single office,Urban or forest,Continue,7.1,34.0,1.4,9,Concrete,cubic meters,Hole,Liquid
5.0,7.0,24.0,83.0,46.0,34.49,1.3,10.0,14.0,1.49,cyclohexanone,3,NE,cyclohexanone,Single office,Urban or forest,Continue,1.3,24.0,1.49,1,Concrete,cubic meters,pipe/valve,Liquid
5.0,0.0,35.0,83.0,57.0,99.7,9.7,7.5,44.0,2.07,cyclohexanone,3,ESE,cyclohexanone,Single office,open country,Continue,9.7,35.0,2.07,26,Concrete,cubic meters,Hole,Liquid
4.0,9.0,33.0,84.0,17.0,28.28,3.9,5.4,73.0,1.91,cyclohexanone,3,NE,cyclohexanone,Single office,Urban or forest,Continue,3.9,33.0,1.91,32,Concrete,cubic meters,Hole,Liquid
6.0,4.0,32.0,80.0,32.0,88.27,6.3,8.1,2.0,1.79,cyclohexanone,3,ENE,cyclohexanone,Single office,open country,Instantaneous,6.3,32.0,1.79,0,Concrete,cubic meters,pipe/valve,Liquid
4.0,8.0,30.0,79.0,26.0,77.1,4.2,3.2,36.0,1.3,cyclohexanone,3,ESE,cyclohexanone,Enclosed office,open country,Instantaneous,4.2,30.0,1.3,8,Concrete,cubic meters,pipe/valve,Liquid
5.0,2.0,32.0,80.0,12.0,63.1,7.0,7.6,88.0,2.33,cyclohexanone,3,ESE,cyclohexanone,Single office,open country,Instantaneous,7.0,32.0,2.33,87,Concrete,cubic meters,pipe/valve,Liquid
3.0,9.0,33.0,86.0,15.0,93.72,6.3,6.5,57.0,2.68,cyclohexanone,3,NNE,cyclohexanone,Enclosed office,Urban or forest,Instantaneous,6.3,33.0,2.68,54,Concrete,cubic meters,Hole,Liquid
5.0,3.0,28.0,82.0,41.0,64.92,4.4,9.9,15.0,0.78,cyclohexanone,3,NE,cyclohexanone,Double storied,open country,Continue,4.4,28.0,0.78,14,Concrete,cubic meters,Hole,Liquid
5.0,2.0,29.0,83.0,60.0,35.71,8.0,3.4,86.0,2.09,cyclohexanone,3,ENE,cyclohexanone,Single office,Urban or forest,Continue,8.0,29.0,2.09,5,Concrete,cubic meters,Hole,Liquid
4.0,9.0,23.0,81.0,4.0,60.14,3.4,0.8,79.0,2.27,cyclohexanone,3,ESE,cyclohexanone,Double storied,Urban or forest,Continue,3.4,23.0,2.27,78,Concrete,cubic meters,pipe/valve,Liquid
5.0,5.0,23.0,79.0,46.0,45.41,9.7,3.7,96.0,2.76,cyclohexanone,3,NNE,cyclohexanone,Double storied,Urban or forest,Continue,9.7,23.0,2.76,53,Concrete,cubic meters,Hole,Liquid
4.0,9.0,24.0,78.0,32.0,91.93,0.5,9.1,54.0,2.82,cyclohexanone,3,NE,cyclohexanone,Single office,Urban or forest,Instantaneous,0.5,24.0,2.82,20,Concrete,cubic meters,Hole,Liquid
4.0,7.0,23.0,84.0,2.0,92.33,8.8,7.8,99.0,1.52,cyclohexanone,3,NE,cyclohexanone,Enclosed office,Urban or forest,Instantaneous,8.8,23.0,1.52,38,Concrete,cubic meters,Hole,Liquid
3.0,5.0,19.0,83.0,19.0,18.19,8.8,9.0,98.0,2.38,cyclohexanone,3,ENE,cyclohexanone,Single office,Urban or forest,Instantaneous,8.8,19.0,2.38,44,Concrete,cubic meters,pipe/valve,Liquid
5.0,9.0,33.0,85.0,21.0,62.77,8.7,5.4,3.0,2.88,cyclohexanone,3,ENE,cyclohexanone,Double storied,open country,Continue,8.7,33.0,2.88,2,Concrete,cubic meters,pipe/valve,Liquid
4.0,6.0,18.0,85.0,13.0,14.4,7.2,3.2,31.0,2.0,cyclohexanone,3,NNE,cyclohexanone,Single office,Urban or forest,Instantaneous,7.2,18.0,2.0,1,Concrete,cubic meters,Hole,Liquid
5.0,8.0,22.0,86.0,36.0,59.53,5.8,6.6,51.0,0.85,cyclohexanone,3,ENE,cyclohexanone,Single office,open country,Instantaneous,5.8,22.0,0.85,34,Concrete,cubic meters,pipe/valve,Liquid
6.0,9.0,27.0,86.0,51.0,28.68,5.2,3.9,47.0,2.35,cyclohexanone,3,ENE,cyclohexanone,Enclosed office,open country,Continue,5.2,27.0,2.35,42,Concrete,cubic meters,Hole,Liquid
6.0,6.0,33.0,84.0,47.0,18.9,8.9,3.6,15.0,1.88,cyclohexanone,3,NE,cyclohexanone,Double storied,Urban or forest,Continue,8.9,33.0,1.88,15,Concrete,cubic meters,Hole,Liquid
4.0,3.0,22.0,82.0,5.0,50.81,9.6,1.0,26.0,2.09,cyclohexanone,3,ESE,cyclohexanone,Enclosed office,open country,Continue,9.6,22.0,2.09,19,Concrete,cubic meters,pipe/valve,Liquid
4.0,3.0,34.0,80.0,43.0,57.12,0.9,0.8,49.0,2.43,cyclohexanone,3,NE,cyclohexanone,Single office,Urban or forest,Instantaneous,0.9,34.0,2.43,10,Concrete,cubic meters,Hole,Liquid
3.0,0.0,33.0,81.0,54.0,16.07,3.5,6.3,56.0,2.1,cyclohexanone,3,NE,cyclohexanone,Double storied,Urban or forest,Instantaneous,3.5,33.0,2.1,54,Concrete,cubic meters,pipe/valve,Liquid
3.0,2.0,28.0,84.0,7.0,90.41,3.4,2.6,35.0,2.57,cyclohexanone,3,NE,cyclohexanone,Enclosed office,Urban or forest,Instantaneous,3.4,28.0,2.57,33,Concrete,cubic meters,Hole,Liquid
4.0,1.0,23.0,81.0,21.0,35.01,4.3,3.0,56.0,2.17,cyclohexanone,3,ENE,cyclohexanone,Enclosed office,Urban or forest,Instantaneous,4.3,23.0,2.17,19,Concrete,cubic meters,Hole,Liquid
5.0,3.0,24.0,77.0,52.0,77.88,6.4,3.2,82.0,2.95,cyclohexanone,3,ENE,cyclohexanone,Single office,open country,Instantaneous,6.4,24.0,2.95,79,Concrete,cubic meters,pipe/valve,Liquid
3.0,9.0,32.0,79.0,15.0,63.91,6.8,7.2,73.0,1.78,cyclohexanone,3,NNE,cyclohexanone,Enclosed office,open country,Instantaneous,6.8,32.0,1.78,34,Concrete,cubic meters,Hole,Liquid
6.0,6.0,27.0,78.0,7.0,33.45,8.6,10.0,50.0,1.45,cyclohexanone,3,ESE,cyclohexanone,Enclosed office,Urban or forest,Continue,8.6,27.0,1.45,28,Concrete,cubic meters,pipe/valve,Liquid
4.0,4.0,25.0,78.0,19.0,52.57,6.2,8.3,61.0,1.72,cyclohexanone,3,ESE,cyclohexanone,Enclosed office,Urban or forest,Instantaneous,6.2,25.0,1.72,13,Concrete,cubic meters,pipe/valve,Liquid
4.0,9.0,23.0,83.0,54.0,65.45,9.7,5.0,42.0,1.96,cyclohexanone,3,ESE,cyclohexanone,Double storied,open country,Instantaneous,9.7,23.0,1.96,7,Concrete,cubic meters,Hole,Liquid
5.0,3.0,32.0,81.0,57.0,66.79,6.3,1.3,30.0,2.41,cyclohexanone,3,NE,cyclohexanone,Double storied,Urban or forest,Continue,6.3,32.0,2.41,3,Concrete,cubic meters,Hole,Liquid
5.0,5.0,25.0,80.0,13.0,58.05,4.8,5.2,2.0,2.98,cyclohexanone,3,NE,cyclohexanone,Single office,Urban or forest,Continue,4.8,25.0,2.98,2,Concrete,cubic meters,pipe/valve,Liquid
3.0,2.0,20.0,82.0,48.0,81.72,5.9,7.2,94.0,2.28,cyclohexanone,3,ESE,cyclohexanone,Enclosed office,open country,Continue,5.9,20.0,2.28,56,Concrete,cubic meters,pipe/valve,Liquid
6.0,5.0,31.0,85.0,21.0,9.08,3.7,8.3,29.0,0.9,cyclohexanone,3,ENE,cyclohexanone,Double storied,Urban or forest,Instantaneous,3.7,31.0,0.9,13,Concrete,cubic meters,pipe/valve,Liquid
5.0,2.0,22.0,81.0,16.0,56.47,8.2,1.3,43.0,2.79,cyclohexanone,3,ENE,cyclohexanone,Enclosed office,open country,Continue,8.2,22.0,2.79,43,Concrete,cubic meters,Hole,Liquid
3.0,5.0,24.0,81.0,51.0,18.42,1.1,7.4,40.0,2.03,cyclohexanone,3,ENE,cyclohexanone,Enclosed office,Urban or forest,Continue,1.1,24.0,2.03,25,Concrete,cubic meters,Hole,Liquid
3.0,7.0,21.0,82.0,59.0,3.7,3.1,1.4,36.0,0.83,cyclohexanone,3,NNE,cyclohexanone,Enclosed office,open country,Instantaneous,3.1,21.0,0.83,9,Concrete,cubic meters,pipe/valve,Liquid
4.0,9.0,26.0,84.0,5.0,81.26,6.1,9.6,58.0,1.5,cyclohexanone,3,NE,cyclohexanone,Double storied,open country,Continue,6.1,26.0,1.5,43,Concrete,cubic meters,Hole,Liquid
4.0,4.0,22.0,85.0,11.0,15.32,7.3,4.5,82.0,2.22,cyclohexanone,3,NE,cyclohexanone,Double storied,open country,Continue,7.3,22.0,2.22,37,Concrete,cubic meters,Hole,Liquid
6.0,5.0,21.0,86.0,11.0,53.7,3.6,5.8,66.0,1.85,cyclohexanone,3,ESE,cyclohexanone,Double storied,Urban or forest,Instantaneous,3.6,21.0,1.85,54,Concrete,cubic meters,Hole,Liquid
4.0,0.0,20.0,81.0,18.0,49.08,8.1,0.9,79.0,2.31,cyclohexanone,3,ENE,cyclohexanone,Double storied,Urban or forest,Instantaneous,8.1,20.0,2.31,51,Concrete,cubic meters,pipe/valve,Liquid
4.0,3.0,25.0,79.0,49.0,82.21,6.4,3.4,4.0,2.06,cyclohexanone,3,ENE,cyclohexanone,Enclosed office,Urban or forest,Instantaneous,6.4,25.0,2.06,1,Concrete,cubic meters,Hole,Liquid
4.0,7.0,29.0,83.0,1.0,96.85,8.5,6.4,56.0,2.48,cyclohexanone,3,ENE,cyclohexanone,Single office,Urban or forest,Continue,8.5,29.0,2.48,18,Concrete,cubic meters,Hole,Liquid
3.0,2.0,22.0,85.0,19.0,65.11,0.8,4.2,98.0,2.19,cyclohexanone,3,ESE,cyclohexanone,Enclosed office,open country,Continue,0.8,22.0,2.19,62,Concrete,cubic meters,pipe/valve,Liquid
4.0,4.0,20.0,80.0,48.0,13.52,9.9,7.7,23.0,1.1,cyclohexanone,3,ESE,cyclohexanone,Enclosed office,open country,Continue,9.9,20.0,1.1,19,Concrete,cubic meters,pipe/valve,Liquid
6.0,2.0,31.0,80.0,24.0,86.04,2.0,0.9,35.0,0.77,cyclohexanone,3,NNE,cyclohexanone,Single office,open country,Instantaneous,2.0,31.0,0.77,12,Concrete,cubic meters,pipe/valve,Liquid
5.0,8.0,20.0,85.0,40.0,8.17,3.1,8.8,24.0,1.4,cyclohexanone,3,ENE,cyclohexanone,Enclosed office,open country,Instantaneous,3.1,20.0,1.4,1,Concrete,cubic meters,Hole,Liquid
4.0,8.0,34.0,81.0,47.0,44.35,6.5,9.1,66.0,1.87,cyclohexanone,3,ESE,cyclohexanone,Double storied,open country,Instantaneous,6.5,34.0,1.87,7,Concrete,cubic meters,pipe/valve,Liquid
4.0,6.0,28.0,80.0,57.0,85.56,1.5,8.9,38.0,0.99,cyclohexanone,3,ENE,cyclohexanone,Single office,open country,Continue,1.5,28.0,0.99,30,Concrete,cubic meters,pipe/valve,Liquid
5.0,7.0,22.0,83.0,53.0,90.92,4.3,8.2,53.0,1.68,cyclohexanone,3,NNE,cyclohexanone,Double storied,open country,Instantaneous,4.3,22.0,1.68,49,Concrete,cubic meters,Hole,Liquid
5.0,10.0,35.0,80.0,23.0,32.33,4.8,4.4,62.0,1.39,cyclohexanone,3,NNE,cyclohexanone,Double storied,open country,Instantaneous,4.8,35.0,1.39,43,Concrete,cubic meters,pipe/valve,Liquid
6.0,7.0,29.0,87.0,37.0,62.05,3.0,2.1,69.0,2.36,cyclohexanone,3,ESE,cyclohexanone,Enclosed office,Urban or forest,Instantaneous,3.0,29.0,2.36,40,Concrete,cubic meters,pipe/valve,Liquid
5.0,8.0,29.0,87.0,39.0,4.85,4.5,9.5,40.0,1.99,cyclohexanone,3,NNE,cyclohexanone,Double storied,open country,Continue,4.5,29.0,1.99,4,Concrete,cubic meters,pipe/valve,Liquid
5.0,6.0,34.0,85.0,17.0,64.2,6.8,2.2,23.0,2.84,cyclohexanone,3,NE,cyclohexanone,Single office,open country,Instantaneous,6.8,34.0,2.84,11,Concrete,cubic meters,pipe/valve,Liquid
6.0,0.0,33.0,83.0,2.0,42.66,1.0,8.9,31.0,0.93,cyclohexanone,3,NE,cyclohexanone,Single office,Urban or forest,Continue,1.0,33.0,0.93,21,Concrete,cubic meters,Hole,Liquid
5.0,4.0,24.0,84.0,8.0,51.83,1.1,0.6,70.0,2.86,cyclohexanone,3,ESE,cyclohexanone,Enclosed office,open country,Continue,1.1,24.0,2.86,19,Concrete,cubic meters,Hole,Liquid
4.0,8.0,33.0,85.0,18.0,54.12,2.7,2.1,29.0,2.21,cyclohexanone,3,NE,cyclohexanone,Double storied,open country,Instantaneous,2.7,33.0,2.21,25,Concrete,cubic meters,Hole,Liquid
5.0,3.0,24.0,86.0,10.0,68.11,1.3,4.6,68.0,2.26,cyclohexanone,3,ENE,cyclohexanone,Single office,open country,Instantaneous,1.3,24.0,2.26,38,Concrete,cubic meters,Hole,Liquid
3.0,9.0,25.0,84.0,36.0,49.67,1.0,8.4,92.0,2.04,cyclohexanone,3,NNE,cyclohexanone,Double storied,open country,Instantaneous,1.0,25.0,2.04,3,Concrete,cubic meters,pipe/valve,Liquid
3.0,6.0,30.0,81.0,17.0,8.76,2.3,4.9,25.0,1.86,cyclohexanone,3,NNE,cyclohexanone,Single office,open country,Continue,2.3,30.0,1.86,19,Concrete,cubic meters,pipe/valve,Liquid
4.0,7.0,24.0,80.0,34.0,17.55,7.8,5.6,6.0,1.46,cyclohexanone,3,ESE,cyclohexanone,Single office,Urban or forest,Continue,7.8,24.0,1.46,4,Concrete,cubic meters,Hole,Liquid
4.0,1.0,19.0,78.0,15.0,93.57,1.2,0.7,79.0,2.5,cyclohexanone,3,ESE,cyclohexanone,Single office,open country,Instantaneous,1.2,19.0,2.5,47,Concrete,cubic meters,pipe/valve,Liquid
5.0,5.0,27.0,86.0,31.0,56.95,6.9,6.9,64.0,1.51,cyclohexanone,3,ENE,cyclohexanone,Enclosed office,Urban or forest,Continue,6.9,27.0,1.51,49,Concrete,cubic meters,pipe/valve,Liquid
5.0,1.0,22.0,83.0,22.0,76.23,6.7,7.3,30.0,0.99,cyclohexanone,3,ESE,cyclohexanone,Double storied,open country,Continue,6.7,22.0,0.99,6,Concrete,cubic meters,Hole,Liquid
4.0,10.0,33.0,83.0,26.0,1.42,9.8,4.5,17.0,1.91,cyclohexanone,3,ESE,cyclohexanone,Single office,Urban or forest,Continue,9.8,33.0,1.91,11,Concrete,cubic meters,Hole,Liquid
4.0,7.0,31.0,81.0,14.0,0.25,9.0,4.7,48.0,1.66,cyclohexanone,3,ESE,cyclohexanone,Single office,Urban or forest,Continue,9.0,31.0,1.66,8,Concrete,cubic meters,pipe/valve,Liquid
4.0,8.0,20.0,77.0,17.0,43.15,7.0,4.5,55.0,2.97,cyclohexanone,3,NE,cyclohexanone,Double storied,open country,Instantaneous,7.0,20.0,2.97,24,Concrete,cubic meters,pipe/valve,Liquid
5.0,9.0,34.0,79.0,39.0,83.24,7.1,2.4,89.0,1.27,cyclohexanone,3,ESE,cyclohexanone,Enclosed office,open country,Instantaneous,7.1,34.0,1.27,62,Concrete,cubic meters,Hole,Liquid
5.0,0.0,20.0,77.0,58.0,90.07,2.0,4.8,57.0,1.73,cyclohexanone,3,NE,cyclohexanone,Enclosed office,Urban or forest,Instantaneous,2.0,20.0,1.73,1,Concrete,cubic meters,Hole,Liquid
4.0,5.0,30.0,81.0,39.0,71.15,0.6,7.1,34.0,1.74,cyclohexanone,3,NNE,cyclohexanone,Double storied,Urban or forest,Continue,0.6,30.0,1.74,29,Concrete,cubic meters,pipe/valve,Liquid
3.0,2.0,31.0,81.0,49.0,6.97,0.8,5.9,18.0,0.95,cyclohexanone,3,ESE,cyclohexanone,Single office,Urban or forest,Instantaneous,0.8,31.0,0.95,14,Concrete,cubic meters,Hole,Liquid
3.0,6.0,26.0,79.0,25.0,7.45,8.6,1.4,84.0,0.76,cyclohexanone,3,NNE,cyclohexanone,Double storied,Urban or forest,Continue,8.6,26.0,0.76,8,Concrete,cubic meters,pipe/valve,Liquid
4.0,1.0,20.0,85.0,32.0,62.45,2.1,9.1,33.0,1.22,cyclohexanone,3,NNE,cyclohexanone,Double storied,Urban or forest,Instantaneous,2.1,20.0,1.22,6,Concrete,cubic meters,pipe/valve,Liquid
5.0,7.0,19.0,78.0,13.0,16.45,1.8,4.5,7.0,2.6,cyclohexanone,3,NNE,cyclohexanone,Single office,Urban or forest,Instantaneous,1.8,19.0,2.6,3,Concrete,cubic meters,pipe/valve,Liquid
4.0,2.0,30.0,83.0,56.0,1.72,9.0,8.0,44.0,2.83,cyclohexanone,3,NNE,cyclohexanone,Double storied,Urban or forest,Continue,9.0,30.0,2.83,22,Concrete,cubic meters,Hole,Liquid
4.0,8.0,28.0,84.0,31.0,49.98,0.7,9.2,37.0,1.21,cyclohexanone,3,NNE,cyclohexanone,Double storied,Urban or forest,Continue,0.7,28.0,1.21,37,Concrete,cubic meters,Hole,Liquid
5.0,3.0,28.0,81.0,31.0,89.76,1.6,7.5,16.0,0.9,cyclohexanone,3,ESE,cyclohexanone,Enclosed office,Urban or forest,Continue,1.6,28.0,0.9,7,Concrete,cubic meters,pipe/valve,Liquid
4.0,5.0,34.0,79.0,40.0,1.01,3.3,9.5,41.0,2.8,cyclohexanone,3,NE,cyclohexanone,Single office,open country,Continue,3.3,34.0,2.8,4,Concrete,cubic meters,pipe/valve,Liquid
4.0,5.0,31.0,82.0,46.0,12.47,8.3,1.9,13.0,1.62,cyclohexanone,3,ESE,cyclohexanone,Single office,open country,Instantaneous,8.3,31.0,1.62,9,Concrete,cubic meters,Hole,Liquid
4.0,3.0,28.0,80.0,40.0,96.36,7.9,5.2,25.0,1.34,cyclohexanone,3,NNE,cyclohexanone,Enclosed office,open country,Instantaneous,7.9,28.0,1.34,5,Concrete,cubic meters,Hole,Liquid
